Grade,Strand,Substrand,Standard,Code,Benchmark,For Example
9/12,2. Economics,3. Fundamental Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.4,Explain that market supply is based on each seller’s cost and the number of sellers in the market; analyze the effect of factors that can change supply.,"For example: Factors—productivity of resources, price of resources, government taxes and subsidies, profit expectations; a fall in the price of leather leads to an increase in the supply of baseball gloves due to the lower cost of production."
9/12,2. Economics,4. Microeconomic Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.5,Use demand and supply curves to explain how the equilibrium price and quantity in a market is determined as buyers and sellers adjust their offers in response to shortages or surpluses.,"For example: If the price of houses is such that the quantity offered by sellers exceeds the quantity demanded by buyers, a housing surplus would exist which would lead sellers to offer lower prices."
9/12,2. Economics,4. Microeconomic Concepts,"5. Individuals, businesses and governments interact and exchange goods, services and resources in different ways and for different reasons; interactions between buyers and sellers in a market determines the price and quantity exchanged of a good, service or resource.",9.2.4.5.6,Explain how changes (shifts) in the demand and supply of an item result in changes in its market price and quantity; explain how these shifts can lead to changes in prices and quantities in other markets.,"For example: An increase in the price of oil increases the cost of producing gasoline. This reduces (“leftward shifts”) the supply of gasoline, leading to an increase in the price of gasoline and a reduction in the quantity of gasoline sold."
9/12,2. Economics,4. Microeconomic Concepts,"6. Profit provides an incentive for individuals and businesses; different business organizations and market structures have an effect on the profit, price and production of goods and services.",9.2.4.6.1,Compare and contrast characteristics of various market structures.,"For example: Characteristics—number of firms, amount of product differentiation, amount of market integration, barriers to entry, type of business organization. Market structures—perfect competition, polyopoly (or monopolistic competition), oligopoly, monopoly."
9/12,2. Economics,4. Microeconomic Concepts,"6. Profit provides an incentive for individuals and businesses; different business organizations and market structures have an effect on the profit, price and production of goods and services.",9.2.4.6.2,"Explain the impact of various market structures on long-run profit, price, production, and efficiency in the market.","For example: Impact—In perfectly- competitive markets, profits direct resources to their most-valued use (the ""invisible hand of the market""); a monopoly will restrict output below the efficient (or competitive) amount in order to drive up price and earn economic profits."
9/12,2. Economics,4. Microeconomic Concepts,"7. Resource markets and financial markets determine wages, interest rates and commodity prices.",9.2.4.7.1,"Explain the role of productivity, human capital, unions, demographics and government policies in determining wage rates and income in labor markets.",For example: Retiring baby-boomers will likely lead to labor shortages; increases in worker productivity lead to increases in the demand for labor and higher wages; minimum wage laws lead to higher wages but also cause labor surpluses.
9/12,2. Economics,4. Microeconomic Concepts,"7. Resource markets and financial markets determine wages, interest rates and commodity prices.",9.2.4.7.2,Explain the role of financial institutions and credit markets in the acquisition of capital.,"For example: Financial institutions (intermediaries between savers and investors)—commercial banks, investment banks, credit unions, stock exchanges. Credit markets (interaction between borrowers and lenders) determine interest rates which affect capital purchases (or investment spending)."
9/12,2. Economics,4. Microeconomic Concepts,"7. Resource markets and financial markets determine wages, interest rates and commodity prices.",9.2.4.7.3,Describe commodities as natural resources necessary to produce goods and services; explain how world events and market speculation can affect commodity and other prices.,"For example: Commodities—grains, minerals, oil, fruits, natural gas, wood. Effects—unrest in oil-producing nations raises the price of oil which raises the cost of energy of producing many goods and services."
9/12,2. Economics,4. Microeconomic Concepts,"8. Market failures occur when markets fail to allocate resources efficiently or meet other goals, and this often leads to government attempts to correct the problem.",9.2.4.8.1,"Identify and analyze market failures caused by a lack of competition, lack of resource mobility (barriers), and lack of perfect information; evaluate the rationale and effectiveness of government attempts to remedy these problems.","For example: Remedies—anti-trust laws, consumer protection laws, provision of consumer information, disclosure laws; Government agencies—Department of Justice, Securities Exchange Commission, Federal Trade Commission, Food and Drug Administration, Consumer Product Safety Commission."
9/12,2. Economics,4. Microeconomic Concepts,"8. Market failures occur when markets fail to allocate resources efficiently or meet other goals, and this often leads to government attempts to correct the problem.",9.2.4.8.2,"Identify and analyze market failures caused by poorly-defined or poorly- enforced property rights, externalities, and public goods; evaluate the rationale and effectiveness of government attempts to remedy these problems.","For example: Hunting licenses to control access to deer, fish and other wildlife populations; the creation of a tradable discharge permit market for sulfur to correct the negative externality of acid rains; provision of police and courts to enforce private property rights. Government attempts to remedy problems—legal system, agencies (Environmental Protection Agency, Occupational Safety and Health Administration, Minnesota Department of Natural Resources)."
9/12,2. Economics,4. Microeconomic Concepts,"8. Market failures occur when markets fail to allocate resources efficiently or meet other goals, and this often leads to government attempts to correct the problem.",9.2.4.8.3,"Identify measures of income distribution, wealth distribution and poverty and explain how these affect, and are affected by, the economy; evaluate the effectiveness of, and incentives created by, government income redistribution programs.","For example: Measures—Gini coefficient, poverty line, wealth of richest twenty percent divided by wealth of poorest twenty percent. Effects—a different income or wealth distribution would result in a different allocation of resources. Government programs—Social Security, basic welfare, unemployment compensation."
9/12,2. Economics,5. Macroeconomic Concepts,"9. Economic performance (the performance of an economy toward meeting its goals) can be measured, and is affected by, various long-term factors.",9.2.5.9.1,Measure economic growth in terms of percentage changes in real Gross Domestic Product over time; analyze past and recent data to identify factors that promote or impair long-run economic growth and its sustainability. ,"For example: Factors—productivity, amount of resources, level of saving, investments, technological advances, research and development, education and training, natural resource availability. "
9/12,2. Economics,5. Macroeconomic Concepts,"9. Economic performance (the performance of an economy toward meeting its goals) can be measured, and is affected by, various long-term factors.",9.2.5.9.2,Measure inflation in terms of a percentage change in a price index; analyze past and recent data to explain how the money supply is related to long-run inflation with the equation of exchange. ,"For example: Price indexes—consumer price index, producer price index, gross domestic product deflator. Equation of exchange—MV=PQ, given V (the velocity of money) constant and Q (output) at full employment, a percentage change in M (the money supply) will result in the same percentage change in P (the price level). "
9/12,2. Economics,5. Macroeconomic Concepts,"9. Economic performance (the performance of an economy toward meeting its goals) can be measured, and is affected by, various long-term factors.",9.2.5.9.3,Measure full employment in terms of the unemployment rate and various types of unemployment; analyze past and recent data to describe factors that impact the long-run growth of jobs in an economy. ,"For example: Types of unemployment—frictional, structural, cyclical, seasonal; Factors—demographics, immigration, growth of output. "
9/12,2. Economics,5. Macroeconomic Concepts,"10. The overall levels of output, employment and prices in an economy fluctuate in the short run as a result of the spending and production decisions of households, businesses, governments and others.",9.2.5.10.1,"Describe factors that can lead to changes in short-run total spending (by households, businesses, governments and foreigners) and changes in short-run output.","For example: Total spending factors— household wealth, foreign incomes, interest rates, factory utilization rate, expectations. Output factors— resource prices, resource productivity, government regulations."
9/12,2. Economics,5. Macroeconomic Concepts,"10. The overall levels of output, employment and prices in an economy fluctuate in the short run as a result of the spending and production decisions of households, businesses, governments and others.",9.2.5.10.2,"Use a short-run aggregate demand and aggregate supply model to describe changes in output, employment and the price level.","For example: A decrease in aggregate demand (due to a loss of household wealth) leads to a decrease in the price level, real gross domestic product (GDP), employment."
9/12,2. Economics,5. Macroeconomic Concepts,11. The overall performance of an economy can be influenced by the fiscal policies of governments and the monetary policies of central banks.,9.2.5.11.1,"Explain how various government fiscal policies are likely to impact overall output, employment and the price level.","For example: Fiscal policies—changes in spending levels or composition, tax rates, tax base, tax structure, budget decisions, debt, regulations; increases in government spending tend to increase output, employment, and the price level; crowding-out effect."
9/12,2. Economics,5. Macroeconomic Concepts,11. The overall performance of an economy can be influenced by the fiscal policies of governments and the monetary policies of central banks.,9.2.5.11.2,"Describe how various monetary policies of the Federal Reserve are implemented; explain how they are likely to impact overall output, employment, and the price level.","For example: Monetary policies— changes in the rate of growth of the money supply, interest rates, the availability of credit, financial regulations; decreases in interest rates tends to increase output, employment, and the price level."
9/12,2. Economics,5. Macroeconomic Concepts,11. The overall performance of an economy can be influenced by the fiscal policies of governments and the monetary policies of central banks.,9.2.5.11.3,"Explain fiscal and monetary policies from various perspectives; provide arguments from one’s own perspective, supported by analysis, for a policy change that should be adopted.",For example: Various perspectives— How do liberals and conservatives view the economic desirability of increasing tax rates on the wealthy?
9/12,2. Economics,5. Macroeconomic Concepts,11. The overall performance of an economy can be influenced by the fiscal policies of governments and the monetary policies of central banks.,9.2.5.11.4,Evaluate the impact of at least two United States Supreme Court decisions on the United States economy.,"For example: Cases that define corporations as persons, child labor laws, commerce clause cases, antitrust cases."
9/12,2. Economics,5. Macroeconomic Concepts,"12. International trade, exchange rates and international institutions affect individuals, organizations and governments throughout the world.",9.2.5.12.1,"Apply the principles of absolute and comparative advantage to explain the increase in world production due to specialization and trade; identify the groups that benefit and lose with free-trade treaties, trading blocs and trade barriers.","For example: Dropping United States restrictions on the importation of sugar would benefit sugar consumers through lower prices, but hurt sugar beet farmers; however, the net economic benefit for the United States would be positive. Role of the World Trade Organization."
9/12,2. Economics,5. Macroeconomic Concepts,"12. International trade, exchange rates and international institutions affect individuals, organizations and governments throughout the world.",9.2.5.12.2,"Explain how the demand and supply of currencies determines exchange rates and, in turn, affects trade.",For example: A rise in the demand for United States exports and assets leads to rise in the demand for United States dollars and an appreciation in the value of the United States dollar relative to other currencies.
