Grade,Strand,Substrand,Standard,Code,Benchmark,Example
9/12,1. Citizenship and Government,3. Rights and Responsibilities,"4. Individuals in a republic have rights, duties and responsibilities.",9.1.3.4.2,Explain the scope and limits of rights protected by the First and Second Amendments and changes created by legislative action and court interpretation.,n/a
9/12,1. Citizenship and Government,3. Rights and Responsibilities,"4. Individuals in a republic have rights, duties and responsibilities.",9.1.3.4.3,"Explain the scope and limits of rights of the accused under the Fourth, Fifth, Sixth, and Eighth Amendments and changes created by legislative action and court interpretation.",n/a
9/12,1. Citizenship and Government,3. Rights and Responsibilities,"4. Individuals in a republic have rights, duties and responsibilities.",9.1.3.4.4,Explain the current and historical interpretations of the principles of due process and equal protection of the law; analyze the protections provided by the Fourteenth Amendment.,n/a
9/12,1. Citizenship and Government,3. Rights and Responsibilities,"4. Individuals in a republic have rights, duties and responsibilities.",9.1.3.4.5,Explain the responsibilities and duties for all individuals (citizens and non-citizens) in a republic.,"For example: Paying taxes, obeying the law, responding to government requests such as subpoenas, informed participation in voting and public decision-making, developing and defending positions on public policy issues, monitoring, influencing decision making."
9/12,1. Citizenship and Government,3. Rights and Responsibilities,5. Citizenship and its rights and duties are established by law.,9.1.3.5.1,"Define the legal meaning of citizenship in the United States, describe the process and requirements for citizenship, and explain the duties of citizenship including service in court proceedings (jury duty) and selective service registration (males).",n/a
9/12,1. Citizenship and Government,3. Rights and Responsibilities,5. Citizenship and its rights and duties are established by law.,9.1.3.5.2,Describe the process of naturalization; explain the role of the federal government in establishing immigration policies.,n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.1,Explain federalism and the provisions of the United States Constitution which delegate to the federal government the powers necessary to fulfill the purposes for which it was established; distinguish between those powers and the powers retained by the people and the states.,"For example: Necessary and Proper Clause (“elastic clause”), Commerce Clause, Ninth and Tenth Amendments."
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.2,"Explain the purposes, organization, functions and processes of the legislative branch as enumerated in Article I of the United States Constitution.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.3,"Explain the purposes, organization, functions and processes of the executive branch as enumerated in Article II of the United States Constitution.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.4,"Explain the purposes, organization, functions and processes of the judicial branch as enumerated in Article III of the United States Constitution.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.5,"Describe the systems of enumerated and implied powers, separation of powers and checks and balances.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.6,"Evaluate the importance of an independent judiciary, judicial review and the rule of law.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.7,Explain the powers and operations of the State of Minnesota government as defined in its Constitution and its relationship with the federal government.,n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.8,"Explain the powers and operations of local (county, city, school board, township) government in Minnesota.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"6. The United States government has specific functions that are determined by the way that power is delegated and controlled among various bodies: the three levels (federal, state, local) and the three branches (legislative, executive, judicial) of government.",9.1.4.6.9,Compare and contrast the budgets of the United States and Minnesota governments describing the major sources of revenue and categories of spending for each.,"For example: Sources of revenue— sales, income and property taxes, fees. Categories of spending—leases (mineral, water, oil, lumber), defense, public safety, education, entitlements, transportation, welfare."
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,"7. The primary purposes of rules and laws within the United States constitutional government are to protect individual rights, promote the general welfare and provide order.",9.1.4.7.1,"Describe the purposes, types, and sources of laws and rules.","For example: Types of laws—civil, criminal and juvenile. Sources of laws and rules—case, statutory, administrative, executive."
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,8. Public policy is shaped by governmental and non-governmental institutions and political processes.,9.1.4.8.1,Evaluate the impact of political parties on elections and public policy formation.,n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,8. Public policy is shaped by governmental and non-governmental institutions and political processes.,9.1.4.8.2,"Evaluate the role of interest groups, corporations, think tanks, the media and public opinion on the political process and public policy formation.",n/a
9/12,1. Citizenship and Government,4. Governmental Institutions & Political Processes,9. Free and fair elections are key elements of the United States political system.,9.1.4.9.1,"Analyze how the United States political system is shaped by elections and the election process, including the caucus system and procedures involved in voting.",n/a
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,"10. The United States establishes and maintains relationships and interacts with indigenous nations and other sovereign nations, and plays a key role in world affairs.",9.1.5.10.1,Explain how tribal sovereignty establishes a unique relationship between American Indian Nations and the United States government.,n/a
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,"10. The United States establishes and maintains relationships and interacts with indigenous nations and other sovereign nations, and plays a key role in world affairs.",9.1.5.10.2,Evaluate the effectiveness of diplomacy and other foreign policy tools used by the United States government and other nations in historical or contemporary times.,n/a
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,"10. The United States establishes and maintains relationships and interacts with indigenous nations and other sovereign nations, and plays a key role in world affairs.",9.1.5.10.3,"Explain why governments interact in world affairs; describe how the United States government develops and carries out United States foreign policy, including treaty-making.",n/a
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,11. International political and economic institutions influence world affairs and United States foreign policy.,9.1.5.11.1,"Describe how individuals, businesses, labor and other groups influence United States foreign policy.",n/a
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,11. International political and economic institutions influence world affairs and United States foreign policy.,9.1.5.11.2,Explain the role of international law in world affairs; evaluate the impact of the participation of nation states in international organizations.,"For example: International organizations— United Nations, Arab League, World Trade Organization, African Union, European Union, North Atlantic Treaty Organization, Organization of American States."
9/12,1. Citizenship and Government,5. Relationships of the United States to Other Nations and Organizations,12. Governments are based on different political philosophies and purposes; governments establish and maintain relationships with varied types of other governments.,9.1.5.12.1,"Compare the philosophies, structures and operations of different types of governments in other countries with those in the United States.","For example: Different types of governments—monarchies, theocracies, dictatorships, representative governments."
